CAL_DT,CAL_TYPE_DESC,DAY_OF_WK_NUM,DAY_OF_WK_DESC,YR_NUM,WK_NUM,YR_WK_NUM,MNTH_NUM,YR_MNTH_NUM,QTR_NUM,YR_QTR_NUM
2025-05-01,Fiscal,4,Thursday,2025,18,202518,4,20254,2,20252
2006-04-04,Fiscal,2,Tuesday,2006,14,200614,4,20064,2,20062
2008-06-07,Fiscal,6,Saturday,2008,23,200823,6,20086,2,20082
2015-03-15,Fiscal,0,Sunday,2015,12,201512,3,20153,1,20151
2021-09-06,Fiscal,1,Monday,2021,36,202136,9,20219,3,20213
2024-12-09,Fiscal,1,Monday,2024,50,202450,12,202412,4,20244
2001-02-27,Fiscal,2,Tuesday,2001,9,200109,3,20013,1,20011
2016-10-12,Fiscal,3,Wednesday,2016,41,201641,10,201610,4,20164
1999-03-07,Fiscal,0,Sunday,1999,11,199911,3,19993,1,19991
2021-01-21,Fiscal,4,Thursday,2021,3,202103,1,20211,1,20211
2008-03-03,Fiscal,1,Monday,2008,10,200810,3,20083,1,20081
2014-02-28,Fiscal,5,Friday,2014,9,201409,2,20142,1,20141
2002-01-10,Fiscal,4,Thursday,2002,2,200202,1,20021,1,20021
2025-03-28,Fiscal,5,Friday,2025,13,202513,3,20253,1,20251
2018-01-10,Fiscal,3,Wednesday,2018,2,201802,1,20181,1,20181
2011-11-15,Fiscal,2,Tuesday,2011,46,201146,11,201111,4,20114
2007-02-23,Fiscal,5,Friday,2007,8,200708,2,20072,1,20071
2025-08-30,Fiscal,6,Saturday,2025,35,202535,8,20258,3,20253
2018-05-04,Fiscal,5,Friday,2018,18,201818,4,20184,2,20182
2006-10-21,Fiscal,6,Saturday,2006,42,200642,10,200610,4,20064
2015-10-03,Fiscal,6,Saturday,2015,40,201540,10,201510,4,20154
2025-03-19,Fiscal,3,Wednesday,2025,12,202512,3,20253,1,20251
2006-12-24,Fiscal,0,Sunday,2006,52,200652,12,200612,4,20064
2022-06-30,Fiscal,4,Thursday,2022,26,202226,6,20226,2,20222
2001-03-09,Fiscal,5,Friday,2001,10,200110,3,20013,1,20011
2014-05-12,Fiscal,1,Monday,2014,20,201420,5,20145,2,20142
2012-10-10,Fiscal,3,Wednesday,2012,41,201241,10,201210,4,20124
2023-09-04,Fiscal,1,Monday,2023,36,202336,9,20239,3,20233
2009-05-03,Fiscal,0,Sunday,2009,19,200919,5,20095,2,20092
2004-01-20,Fiscal,2,Tuesday,2004,4,200404,1,20041,1,20041
2001-12-18,Fiscal,2,Tuesday,2001,51,200151,12,200112,4,20014
2021-01-10,Fiscal,0,Sunday,2021,2,202102,1,20211,1,20211
2018-06-18,Fiscal,1,Monday,2018,25,201825,6,20186,2,20182
2004-12-29,Fiscal,3,Wednesday,2004,53,200453,12,200412,4,20044
2005-10-19,Fiscal,3,Wednesday,2005,42,200542,10,200510,4,20054
2004-02-28,Fiscal,6,Saturday,2004,9,200409,2,20042,1,20041
2026-07-14,Fiscal,2,Tuesday,2026,29,202629,7,20267,3,20263
2016-08-11,Fiscal,4,Thursday,2016,32,201632,8,20168,3,20163
2008-12-08,Fiscal,1,Monday,2008,50,200850,12,200812,4,20084
2000-02-15,Fiscal,2,Tuesday,2000,8,200008,2,20002,1,20001
2022-10-28,Fiscal,5,Friday,2022,43,202243,10,202210,4,20224
2004-05-30,Fiscal,0,Sunday,2004,23,200423,6,20046,2,20042
2011-04-01,Fiscal,5,Friday,2011,13,201113,3,20113,1,20111
2004-09-08,Fiscal,3,Wednesday,2004,37,200437,9,20049,3,20043
2019-02-13,Fiscal,3,Wednesday,2019,7,201907,2,20192,1,20191
2006-06-09,Fiscal,5,Friday,2006,23,200623,6,20066,2,20062
2013-08-31,Fiscal,6,Saturday,2013,35,201335,8,20138,3,20133
2015-05-30,Fiscal,6,Saturday,2015,22,201522,5,20155,2,20152
2021-08-28,Fiscal,6,Saturday,2021,34,202134,8,20218,3,20213
2007-12-15,Fiscal,6,Saturday,2007,50,200750,12,200712,4,20074
2014-01-29,Fiscal,3,Wednesday,2014,5,201405,1,20141,1,20141
2020-04-26,Fiscal,0,Sunday,2020,18,202018,4,20204,2,20202
2022-04-17,Fiscal,0,Sunday,2022,16,202216,4,20224,2,20222
2018-11-04,Fiscal,0,Sunday,2018,45,201845,11,201811,4,20184
2017-02-25,Fiscal,6,Saturday,2017,8,201708,2,20172,1,20171
2015-03-21,Fiscal,6,Saturday,2015,12,201512,3,20153,1,20151
2014-07-31,Fiscal,4,Thursday,2014,31,201431,7,20147,3,20143
2026-07-28,Fiscal,2,Tuesday,2026,31,202631,7,20267,3,20263
2018-08-04,Fiscal,6,Saturday,2018,31,201831,7,20187,3,20183
2017-01-17,Fiscal,2,Tuesday,2017,3,201703,1,20171,1,20171
2014-09-04,Fiscal,4,Thursday,2014,36,201436,9,20149,3,20143
2004-08-14,Fiscal,6,Saturday,2004,33,200433,8,20048,3,20043
2006-09-20,Fiscal,3,Wednesday,2006,38,200638,9,20069,3,20063
2012-06-15,Fiscal,5,Friday,2012,24,201224,6,20126,2,20122
2016-07-11,Fiscal,1,Monday,2016,28,201628,7,20167,3,20163
2021-04-23,Fiscal,5,Friday,2021,16,202116,4,20214,2,20212
2009-12-28,Fiscal,1,Monday,2009,53,200953,12,200912,4,20094
2015-12-08,Fiscal,2,Tuesday,2015,50,201550,12,201512,4,20154
2021-10-28,Fiscal,4,Thursday,2021,43,202143,10,202110,4,20214
2009-05-29,Fiscal,5,Friday,2009,22,200922,5,20095,2,20092
2014-07-21,Fiscal,1,Monday,2014,30,201430,7,20147,3,20143
2013-08-16,Fiscal,5,Friday,2013,33,201333,8,20138,3,20133
2023-12-23,Fiscal,6,Saturday,2023,51,202351,12,202312,4,20234
2018-08-17,Fiscal,5,Friday,2018,33,201833,8,20188,3,20183
2013-11-02,Fiscal,6,Saturday,2013,44,201344,10,201310,4,20134
2003-08-15,Fiscal,5,Friday,2003,33,200333,8,20038,3,20033
2022-06-15,Fiscal,3,Wednesday,2022,24,202224,6,20226,2,20222
2007-12-21,Fiscal,5,Friday,2007,51,200751,12,200712,4,20074
2012-02-24,Fiscal,5,Friday,2012,8,201208,2,20122,1,20121
2014-09-13,Fiscal,6,Saturday,2014,37,201437,9,20149,3,20143
2004-05-20,Fiscal,4,Thursday,2004,21,200421,5,20045,2,20042
2026-05-08,Fiscal,5,Friday,2026,19,202619,5,20265,2,20262
2004-08-11,Fiscal,3,Wednesday,2004,33,200433,8,20048,3,20043
2016-09-27,Fiscal,2,Tuesday,2016,39,201639,9,20169,3,20163
2003-12-16,Fiscal,2,Tuesday,2003,51,200351,12,200312,4,20034
2008-09-23,Fiscal,2,Tuesday,2008,39,200839,9,20089,3,20083
2004-01-23,Fiscal,5,Friday,2004,4,200404,1,20041,1,20041
2019-10-01,Fiscal,2,Tuesday,2019,40,201940,10,201910,4,20194
2023-07-14,Fiscal,5,Friday,2023,28,202328,7,20237,3,20233
2024-08-31,Fiscal,6,Saturday,2024,35,202435,8,20248,3,20243
2018-12-21,Fiscal,5,Friday,2018,51,201851,12,201812,4,20184
2012-05-29,Fiscal,2,Tuesday,2012,22,201222,5,20125,2,20122
2012-12-27,Fiscal,4,Thursday,2012,52,201252,12,201212,4,20124
2021-06-20,Fiscal,0,Sunday,2021,25,202125,6,20216,2,20212
2024-07-11,Fiscal,4,Thursday,2024,28,202428,7,20247,3,20243
2005-03-25,Fiscal,5,Friday,2005,12,200512,3,20053,1,20051
2012-03-14,Fiscal,3,Wednesday,2012,11,201211,3,20123,1,20121
2017-11-28,Fiscal,2,Tuesday,2017,48,201748,11,201711,4,20174
2025-09-26,Fiscal,5,Friday,2025,39,202539,9,20259,3,20253
1998-08-27,Fiscal,4,Thursday,1998,35,199835,9,19989,3,19983
1998-04-13,Fiscal,1,Monday,1998,16,199816,4,19984,2,19982
1998-07-21,Fiscal,2,Tuesday,1998,30,199830,7,19987,3,19983
1998-06-26,Fiscal,5,Friday,1998,26,199826,6,19986,2,19982
1998-06-17,Fiscal,3,Wednesday,1998,25,199825,6,19986,2,19982
1998-10-23,Fiscal,5,Friday,1998,43,199843,10,199810,4,19984
1998-08-03,Fiscal,1,Monday,1998,32,199832,8,19988,3,19983
1998-01-04,Fiscal,0,Sunday,1998,2,199802,1,19981,1,19981
1998-03-11,Fiscal,3,Wednesday,1998,11,199811,3,19983,1,19981
1998-11-15,Fiscal,0,Sunday,1998,47,199847,11,199811,4,19984
2007-07-23,Fiscal,1,Monday,2007,30,200730,7,20077,3,20073
2006-04-21,Fiscal,5,Friday,2006,16,200616,4,20064,2,20062
2016-12-23,Fiscal,5,Friday,2016,51,201651,12,201612,4,20164
2026-12-21,Fiscal,1,Monday,2026,52,202652,12,202612,4,20264
2008-06-20,Fiscal,5,Friday,2008,25,200825,6,20086,2,20082
2016-08-29,Fiscal,1,Monday,2016,35,201635,8,20168,3,20163
2014-08-29,Fiscal,5,Friday,2014,35,201435,8,20148,3,20143
2022-09-13,Fiscal,2,Tuesday,2022,37,202237,9,20229,3,20223
2004-08-24,Fiscal,2,Tuesday,2004,35,200435,8,20048,3,20043
2017-03-17,Fiscal,5,Friday,2017,11,201711,3,20173,1,20171
2019-11-27,Fiscal,3,Wednesday,2019,48,201948,11,201911,4,20194
2023-03-27,Fiscal,1,Monday,2023,13,202313,3,20233,1,20231
2018-12-13,Fiscal,4,Thursday,2018,50,201850,12,201812,4,20184
1999-05-06,Fiscal,4,Thursday,1999,19,199919,5,19995,2,19992
2015-05-14,Fiscal,4,Thursday,2015,20,201520,5,20155,2,20152
2019-08-14,Fiscal,3,Wednesday,2019,33,201933,8,20198,3,20193
2024-11-07,Fiscal,4,Thursday,2024,45,202445,11,202411,4,20244
2018-11-23,Fiscal,5,Friday,2018,47,201847,11,201811,4,20184
2017-02-20,Fiscal,1,Monday,2017,8,201708,2,20172,1,20171
2016-12-21,Fiscal,3,Wednesday,2016,51,201651,12,201612,4,20164
2020-08-18,Fiscal,2,Tuesday,2020,34,202034,8,20208,3,20203
2024-09-28,Fiscal,6,Saturday,2024,39,202439,9,20249,3,20243
2018-09-08,Fiscal,6,Saturday,2018,36,201836,9,20189,3,20183
2014-01-19,Fiscal,0,Sunday,2014,4,201404,1,20141,1,20141
2003-05-15,Fiscal,4,Thursday,2003,20,200320,5,20035,2,20032
2022-01-04,Fiscal,2,Tuesday,2022,1,202201,1,20221,1,20221
2006-11-03,Fiscal,5,Friday,2006,44,200644,10,200610,4,20064
2011-08-25,Fiscal,4,Thursday,2011,34,201134,8,20118,3,20113
2007-06-15,Fiscal,5,Friday,2007,24,200724,6,20076,2,20072
2022-08-22,Fiscal,1,Monday,2022,34,202234,8,20228,3,20223
2007-06-02,Fiscal,6,Saturday,2007,22,200722,5,20075,2,20072
2011-08-10,Fiscal,3,Wednesday,2011,32,201132,8,20118,3,20113
2008-10-09,Fiscal,4,Thursday,2008,41,200841,10,200810,4,20084
2023-02-25,Fiscal,6,Saturday,2023,8,202308,2,20232,1,20231
2007-02-20,Fiscal,2,Tuesday,2007,8,200708,2,20072,1,20071
2017-06-28,Fiscal,3,Wednesday,2017,26,201726,6,20176,2,20172
2006-03-25,Fiscal,6,Saturday,2006,12,200612,3,20063,1,20061
2008-11-15,Fiscal,6,Saturday,2008,46,200846,11,200811,4,20084
2005-12-09,Fiscal,5,Friday,2005,49,200549,12,200512,4,20054
2017-09-19,Fiscal,2,Tuesday,2017,38,201738,9,20179,3,20173
2007-08-30,Fiscal,4,Thursday,2007,35,200735,8,20078,3,20073
2020-05-15,Fiscal,5,Friday,2020,20,202020,5,20205,2,20202
2024-07-28,Fiscal,0,Sunday,2024,31,202431,7,20247,3,20243
2005-11-04,Fiscal,5,Friday,2005,44,200544,10,200510,4,20054
2017-09-20,Fiscal,3,Wednesday,2017,38,201738,9,20179,3,20173
2015-05-18,Fiscal,1,Monday,2015,21,201521,5,20155,2,20152
2020-09-15,Fiscal,2,Tuesday,2020,38,202038,9,20209,3,20203
2004-12-30,Fiscal,4,Thursday,2004,53,200453,12,200412,4,20044
2012-10-21,Fiscal,0,Sunday,2012,43,201243,10,201210,4,20124
2020-07-25,Fiscal,6,Saturday,2020,30,202030,7,20207,3,20203
2006-10-17,Fiscal,2,Tuesday,2006,42,200642,10,200610,4,20064
2010-03-28,Fiscal,0,Sunday,2010,13,201013,3,20103,1,20101
2007-07-31,Fiscal,2,Tuesday,2007,31,200731,7,20077,3,20073
2022-08-29,Fiscal,1,Monday,2022,35,202235,8,20228,3,20223
2008-09-15,Fiscal,1,Monday,2008,38,200838,9,20089,3,20083
2005-12-07,Fiscal,3,Wednesday,2005,49,200549,12,200512,4,20054
2000-03-30,Fiscal,4,Thursday,2000,14,200014,4,20004,2,20002
2021-10-31,Fiscal,0,Sunday,2021,44,202144,10,202110,4,20214
2005-10-17,Fiscal,1,Monday,2005,42,200542,10,200510,4,20054
2019-10-12,Fiscal,6,Saturday,2019,41,201941,10,201910,4,20194
2021-11-10,Fiscal,3,Wednesday,2021,45,202145,11,202111,4,20214
2005-04-13,Fiscal,3,Wednesday,2005,15,200515,4,20054,2,20052
2007-03-31,Fiscal,6,Saturday,2007,13,200713,3,20073,1,20071
2007-04-16,Fiscal,1,Monday,2007,16,200716,4,20074,2,20072
2006-11-26,Fiscal,0,Sunday,2006,48,200648,11,200611,4,20064
2025-01-31,Fiscal,5,Friday,2025,5,202505,1,20251,1,20251
2004-07-16,Fiscal,5,Friday,2004,29,200429,7,20047,3,20043
2010-12-09,Fiscal,4,Thursday,2010,49,201049,12,201012,4,20104
2015-04-28,Fiscal,2,Tuesday,2015,18,201518,4,20154,2,20152
2020-06-18,Fiscal,4,Thursday,2020,25,202025,6,20206,2,20202
2024-09-20,Fiscal,5,Friday,2024,38,202438,9,20249,3,20243
2018-12-14,Fiscal,5,Friday,2018,50,201850,12,201812,4,20184
2011-07-24,Fiscal,0,Sunday,2011,30,201130,7,20117,3,20113
2013-03-30,Fiscal,6,Saturday,2013,13,201313,3,20133,1,20131
2020-10-23,Fiscal,5,Friday,2020,43,202043,10,202010,4,20204
2007-08-03,Fiscal,5,Friday,2007,31,200731,7,20077,3,20073
2014-01-10,Fiscal,5,Friday,2014,2,201402,1,20141,1,20141
2001-08-03,Fiscal,5,Friday,2001,31,200131,8,20018,3,20013
2025-04-28,Fiscal,1,Monday,2025,18,202518,4,20254,2,20252
2017-08-19,Fiscal,6,Saturday,2017,33,201733,8,20178,3,20173
2015-04-05,Fiscal,0,Sunday,2015,15,201515,4,20154,2,20152
2020-05-12,Fiscal,2,Tuesday,2020,20,202020,5,20205,2,20202
2026-10-04,Fiscal,0,Sunday,2026,41,202641,10,202610,4,20264
2005-09-06,Fiscal,2,Tuesday,2005,36,200536,9,20059,3,20053
2000-12-30,Fiscal,6,Saturday,2000,53,200053,12,200012,4,20004
2008-06-18,Fiscal,3,Wednesday,2008,25,200825,6,20086,2,20082
2001-05-01,Fiscal,2,Tuesday,2001,18,200118,5,20015,2,20012
2024-02-25,Fiscal,0,Sunday,2024,9,202409,2,20242,1,20241
2005-08-28,Fiscal,0,Sunday,2005,35,200535,8,20058,3,20053
2013-07-30,Fiscal,2,Tuesday,2013,31,201331,7,20137,3,20133
2017-05-22,Fiscal,1,Monday,2017,21,201721,5,20175,2,20172
2011-04-04,Fiscal,1,Monday,2011,14,201114,4,20114,2,20112
2026-09-25,Fiscal,5,Friday,2026,39,202639,9,20269,3,20263
2017-12-18,Fiscal,1,Monday,2017,51,201751,12,201712,4,20174
2015-01-14,Fiscal,3,Wednesday,2015,3,201503,1,20151,1,20151
2021-05-26,Fiscal,3,Wednesday,2021,21,202121,5,20215,2,20212
2024-05-27,Fiscal,1,Monday,2024,22,202422,5,20245,2,20242
2000-12-12,Fiscal,2,Tuesday,2000,51,200051,12,200012,4,20004
2001-08-26,Fiscal,0,Sunday,2001,35,200135,9,20019,3,20013
2009-10-09,Fiscal,5,Friday,2009,41,200941,10,200910,4,20094
2021-07-25,Fiscal,0,Sunday,2021,30,202130,7,20217,3,20213
2024-11-17,Fiscal,0,Sunday,2024,47,202447,11,202411,4,20244
2000-10-05,Fiscal,4,Thursday,2000,41,200041,10,200010,4,20004
2017-11-02,Fiscal,4,Thursday,2017,44,201744,10,201710,4,20174
2019-04-18,Fiscal,4,Thursday,2019,16,201916,4,20194,2,20192
2025-06-12,Fiscal,4,Thursday,2025,24,202524,6,20256,2,20252
2018-09-07,Fiscal,5,Friday,2018,36,201836,9,20189,3,20183
2017-09-06,Fiscal,3,Wednesday,2017,36,201736,9,20179,3,20173
2009-05-17,Fiscal,0,Sunday,2009,21,200921,5,20095,2,20092
2023-08-09,Fiscal,3,Wednesday,2023,32,202332,8,20238,3,20233
2024-11-05,Fiscal,2,Tuesday,2024,45,202445,11,202411,4,20244
2001-01-09,Fiscal,2,Tuesday,2001,2,200102,1,20011,1,20011
2010-08-23,Fiscal,1,Monday,2010,34,201034,8,20108,3,20103
2012-11-09,Fiscal,5,Friday,2012,45,201245,11,201211,4,20124
2023-07-05,Fiscal,3,Wednesday,2023,27,202327,7,20237,3,20233
2015-10-18,Fiscal,0,Sunday,2015,43,201543,10,201510,4,20154
2007-01-11,Fiscal,4,Thursday,2007,2,200702,1,20071,1,20071
2021-05-19,Fiscal,3,Wednesday,2021,20,202120,5,20215,2,20212
2018-06-24,Fiscal,0,Sunday,2018,26,201826,6,20186,2,20182
2013-09-28,Fiscal,6,Saturday,2013,39,201339,9,20139,3,20133
2003-07-15,Fiscal,2,Tuesday,2003,29,200329,7,20037,3,20033
2020-09-05,Fiscal,6,Saturday,2020,36,202036,9,20209,3,20203
2003-04-13,Fiscal,0,Sunday,2003,16,200316,4,20034,2,20032
2015-09-30,Fiscal,3,Wednesday,2015,40,201540,10,201510,4,20154
2012-08-27,Fiscal,1,Monday,2012,35,201235,8,20128,3,20123
2004-07-18,Fiscal,0,Sunday,2004,30,200430,7,20047,3,20043
2024-11-25,Fiscal,1,Monday,2024,48,202448,11,202411,4,20244
2017-08-18,Fiscal,5,Friday,2017,33,201733,8,20178,3,20173
2012-11-04,Fiscal,0,Sunday,2012,45,201245,11,201211,4,20124
2023-08-04,Fiscal,5,Friday,2023,31,202331,7,20237,3,20233
